Fecha,Proyecto,Cadena,Sucursal,Upc,Item,Nombre,CostoUnidad,VentasUnidades,VentasImporte,ExistenciasUnidades,ExistenciasImporte
2016-12-01,SPINMASTER,LIVERPOOL,"L CENTRO",778988064429,778988064429,"SPIN PAW PATROL CACHORROS TRANSFORMABLES",233.1,1,197.41,0,0
2016-12-01,SPINMASTER,LIVERPOOL,"L CENTRO",778988131503,778988131503,"SPIN PAW PATROL JUEGO DE MEMORIA",123.45,1,171.55,0,0
2016-12-01,SPINMASTER,LIVERPOOL,"L CENTRO",778988206553,778988206553,"SPIN PAW PATROL CACHORROS AEREOS",178.62,1,257.76,0,0
2016-12-01,SPINMASTER,LIVERPOOL,"L CENTRO",778988208649,778988208649,"SPIN PETS PELUCHE DE LUJO CON SONIDO",640.69,1,800.86,0,0
2016-12-01,SPINMASTER,LIVERPOOL,"L CENTRO",778988651315,778988651315,"SPIN MB MUÃƒâ€˜ECA DE 5",167.8,2,394.82,0,0
2016-12-01,SPINMASTER,LIVERPOOL,"L CENTRO",778988654514,778988654514,"SM MBP PELUCHE 8 ANIMAL",742.08,1,231.9,0,0
2016-12-01,SPINMASTER,LIVERPOOL,"L INSURGENTES",778988969137,778988969137,"SPIN HEDBANZ NIÃƒâ€˜OS",192.41,1,175.67,428,995
2016-12-01,SPINMASTER,LIVERPOOL,"L INSURGENTES",778988071380,778988071380,"SPIN DISNEY HIJOS VS PADRES",226.9,1,361.21,428,995
2016-12-01,SPINMASTER,LIVERPOOL,"L INSURGENTES",778988064009,778988064009,"SPIN PAW PATROL VEHICULOS BASICOS",1540,3,1031.91,428,995
2016-12-01,SPINMASTER,LIVERPOOL,"L INSURGENTES",778988066430,778988066430,"SPIN PAW PATROL PELUCHE BASICO",171.72,2,515.52,428,995
